"","Site","Island","Period","Length_mm","Precision_mm","RMS_mm","Range_mm","Depth","Family","Genus","Species","N","Stage","Comment","Method"
"1","Arrecife Antiguo","Darwin","T1","196.79","12.864","1.637","5944.602","15-20m","Pomacanthidae","Holacanthus","passer",2,"AD","","DOVS"
"2","Arrecife Antiguo","Darwin","T1","2240.488","177.041","12.145","14953.935","15-20m","Sphyrnidae","Sphyrna","lewini",1,"AD","","DOVS"
"3","Arrecife Antiguo","Darwin","T1","1275.018","26.756","9.734","10962.981","15-20m","Sphyrnidae","Sphyrna","lewini",1,"AD","","DOVS"
"4","Arrecife Antiguo","Darwin","T1","2695.997","143.281","12.294","12377.196","15-20m","Sphyrnidae","Sphyrna","lewini",2,"AD","","DOVS"
"5","Arrecife Antiguo","Darwin","T1","2500.105","229.453","8.857","14556.988","15-20m","Sphyrnidae","Sphyrna","lewini",1,"AD","","DOVS"
"6","Arrecife Antiguo","Darwin","T1","1871.642","125.253","10.888","13034.319","15-20m","Sphyrnidae","Sphyrna","lewini",1,"AD","","DOVS"
"7","Arrecife Antiguo","Darwin","T1","1976.252","30.063","10.098","11182.063","15-20m","Sphyrnidae","Sphyrna","lewini",1,"F","","DOVS"
"8","Arrecife Antiguo","Darwin","T1","1454.732","96.407","12.239","12902.403","15-20m","Sphyrnidae","Sphyrna","lewini",1,"AD","","DOVS"
"9","Arrecife Antiguo","Darwin","T1","1565.542","75.341","1.885","13789.725","15-20m","Sphyrnidae","Sphyrna","lewini",1,"AD","","DOVS"
"10","Arrecife Antiguo","Darwin","T1","1691.178","37.54","11.74","11783.901","15-20m","Sphyrnidae","Sphyrna","lewini",1,"AD","","DOVS"
"11","Arrecife Antiguo","Darwin","T1","1764.696","29.272","9.866","9932.267","15-20m","Sphyrnidae","Sphyrna","lewini",1,"F","","DOVS"
"12","Arrecife Antiguo","Darwin","T1","1476.888","73.721","2.468","8168.645","15-20m","Sphyrnidae","Sphyrna","lewini",1,"AD","","DOVS"
"13","Arrecife Antiguo","Darwin","T1","1451.896","50.699","7.001","11143.506","15-20m","Sphyrnidae","Sphyrna","lewini",1,"AD","","DOVS"
"14","Arrecife Antiguo","Darwin","T1","1926.872","142.092","10.215","14942.589","15-20m","Sphyrnidae","Sphyrna","lewini",1,"AD","","DOVS"
"15","Arrecife Antiguo","Darwin","T1","1970.793","118.471","5.279","13533.074","15-20m","Sphyrnidae","Sphyrna","lewini",1,"AD","","DOVS"
"16","Arrecife Antiguo","Darwin","T1","1558.611","51.649","7.908","15386.349","15-20m","Sphyrnidae","Sphyrna","lewini",1,"AD","","DOVS"
"17","Arrecife Antiguo","Darwin","T1","1991.247","155.831","5.003","12763.088","15-20m","Sphyrnidae","Sphyrna","lewini",1,"AD","","DOVS"
