"","Transect_code","Date","Year","Month","Time","Island","Site","Bioregion","Diver","Depth","Dive_duration","Transect_length","Census_duration","Current","Temperature_unit","Distance_unit","Thermocline_depth","Species","Sex","SizeClass","N","Trip","Method","SpeciesName"
"1","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S20",0,"1","UVC","Dermatolepis dermatolepis"
"2","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S30",0,"1","UVC","Dermatolepis dermatolepis"
"3","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S35",1,"1","UVC","Dermatolepis dermatolepis"
"4","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S40",0,"1","UVC","Dermatolepis dermatolepis"
"5","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S50",0,"1","UVC","Dermatolepis dermatolepis"
"6","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S60",0,"1","UVC","Dermatolepis dermatolepis"
"7","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S70",0,"1","UVC","Dermatolepis dermatolepis"
"8","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S80",0,"1","UVC","Dermatolepis dermatolepis"
"9","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S90",0,"1","UVC","Dermatolepis dermatolepis"
"10","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S100",0,"1","UVC","Dermatolepis dermatolepis"
"11","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S110",0,"1","UVC","Dermatolepis dermatolepis"
"12","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S125",0,"1","UVC","Dermatolepis dermatolepis"
"13","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S150",0,"1","UVC","Dermatolepis dermatolepis"
"14","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S175",0,"1","UVC","Dermatolepis dermatolepis"
"15","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S200",0,"1","UVC","Dermatolepis dermatolepis"
"16","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S210",0,"1","UVC","Dermatolepis dermatolepis"
"17","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S225",0,"1","UVC","Dermatolepis dermatolepis"
"18","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S250",0,"1","UVC","Dermatolepis dermatolepis"
"19","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S300",0,"1","UVC","Dermatolepis dermatolepis"
"20","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S325",0,"1","UVC","Dermatolepis dermatolepis"
"21","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S350",0,"1","UVC","Dermatolepis dermatolepis"
"22","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S400",0,"1","UVC","Dermatolepis dermatolepis"
"23","2","18-02-2014","2014","Feb","0.43906249999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","28",NA,NA,"27",NA,NA,"Dermatolepis dermatolepis",NA,"S450",0,"1","UVC","Dermatolepis dermatolepis"
"24","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S20",0,"1","UVC","Mycteroperca olfax"
"25","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S30",0,"1","UVC","Mycteroperca olfax"
"26","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S35",1,"1","UVC","Mycteroperca olfax"
"27","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S40",0,"1","UVC","Mycteroperca olfax"
"28","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S50",0,"1","UVC","Mycteroperca olfax"
"29","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S60",0,"1","UVC","Mycteroperca olfax"
"30","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S70",0,"1","UVC","Mycteroperca olfax"
"31","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S80",0,"1","UVC","Mycteroperca olfax"
"32","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S90",0,"1","UVC","Mycteroperca olfax"
"33","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S100",0,"1","UVC","Mycteroperca olfax"
"34","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S110",0,"1","UVC","Mycteroperca olfax"
"35","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S125",0,"1","UVC","Mycteroperca olfax"
"36","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S150",0,"1","UVC","Mycteroperca olfax"
"37","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S175",0,"1","UVC","Mycteroperca olfax"
"38","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S200",0,"1","UVC","Mycteroperca olfax"
"39","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S210",0,"1","UVC","Mycteroperca olfax"
"40","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S225",0,"1","UVC","Mycteroperca olfax"
"41","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S250",0,"1","UVC","Mycteroperca olfax"
"42","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S300",0,"1","UVC","Mycteroperca olfax"
"43","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S325",0,"1","UVC","Mycteroperca olfax"
"44","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S350",0,"1","UVC","Mycteroperca olfax"
"45","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S400",0,"1","UVC","Mycteroperca olfax"
"46","5","18-02-2014","2014","Feb","0.44375","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","45",NA,NA,"27",NA,NA,"Mycteroperca olfax",NA,"S450",0,"1","UVC","Mycteroperca olfax"
"47","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S20",0,"1","UVC","Lutjanus novemfasciatus"
"48","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S30",0,"1","UVC","Lutjanus novemfasciatus"
"49","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S35",0,"1","UVC","Lutjanus novemfasciatus"
"50","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S40",1,"1","UVC","Lutjanus novemfasciatus"
"51","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S50",0,"1","UVC","Lutjanus novemfasciatus"
"52","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S60",0,"1","UVC","Lutjanus novemfasciatus"
"53","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S70",0,"1","UVC","Lutjanus novemfasciatus"
"54","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S80",0,"1","UVC","Lutjanus novemfasciatus"
"55","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S90",0,"1","UVC","Lutjanus novemfasciatus"
"56","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S100",0,"1","UVC","Lutjanus novemfasciatus"
"57","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S110",0,"1","UVC","Lutjanus novemfasciatus"
"58","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S125",0,"1","UVC","Lutjanus novemfasciatus"
"59","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S150",0,"1","UVC","Lutjanus novemfasciatus"
"60","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S175",0,"1","UVC","Lutjanus novemfasciatus"
"61","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S200",0,"1","UVC","Lutjanus novemfasciatus"
"62","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S210",0,"1","UVC","Lutjanus novemfasciatus"
"63","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S225",0,"1","UVC","Lutjanus novemfasciatus"
"64","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S250",0,"1","UVC","Lutjanus novemfasciatus"
"65","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S300",0,"1","UVC","Lutjanus novemfasciatus"
"66","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S325",0,"1","UVC","Lutjanus novemfasciatus"
"67","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S350",0,"1","UVC","Lutjanus novemfasciatus"
"68","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S400",0,"1","UVC","Lutjanus novemfasciatus"
"69","6","18-02-2014","2014","Feb","0.4453125","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","44",NA,NA,"27",NA,NA,"Lutjanus novemfasciatus",NA,"S450",0,"1","UVC","Lutjanus novemfasciatus"
"70","7","18-02-2014","2014","Feb","0.44687499999999997","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy","20","35","48",NA,NA,"27",NA,NA,"Lutjanus argentiventris",NA,"S20",0,"1","UVC","Lutjanus argentiventris"
