"","Trasect_code","Date","Time","Island","Site","Bioregion","Diver","Depth","Dive_duration","Transect_length","Census_duration","Current","Temperature","Distance","Thermocline_depth","Water_temp_over_therm","Water_temp_below_therm","Vis_over_therm","Vis_below_therm","SPECIES","Sex","Comments","SizeClass_cm","N","Trip","Habitat_type_RSM","Rugosity_0_3","Inclination_0_3","Rocky_reef_max_depth"
"1",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"<30",NA,1,NA,NA,NA,NA
"2",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"30",NA,1,NA,NA,NA,NA
"3",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"35",1,1,NA,NA,NA,NA
"4",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"40",NA,1,NA,NA,NA,NA
"5",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"50",NA,1,NA,NA,NA,NA
"6",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"60",NA,1,NA,NA,NA,NA
"7",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"70",NA,1,NA,NA,NA,NA
"8",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"80",NA,1,NA,NA,NA,NA
"9",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"90",NA,1,NA,NA,NA,NA
"10",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"100",NA,1,NA,NA,NA,NA
"11",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"110",NA,1,NA,NA,NA,NA
"12",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"125",NA,1,NA,NA,NA,NA
"13",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"150",NA,1,NA,NA,NA,NA
"14",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"175",NA,1,NA,NA,NA,NA
"15",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"200",NA,1,NA,NA,NA,NA
"16",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"210",NA,1,NA,NA,NA,NA
"17",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"225",NA,1,NA,NA,NA,NA
"18",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"250",NA,1,NA,NA,NA,NA
"19",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"300",NA,1,NA,NA,NA,NA
"20",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"350",NA,1,NA,NA,NA,NA
"21",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"400",NA,1,NA,NA,NA,NA
"22",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,">400",NA,1,NA,NA,NA,NA
"23",5,"18-feb-14","10:39","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,45,NA,NA,"27",NA,NA,NA,NA,10,NA,"Mycteroperca olfax",NA,NA,"<30",NA,1,NA,NA,NA,NA
"24",5,"18-feb-14","10:39","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,45,NA,NA,"27",NA,NA,NA,NA,10,NA,"Mycteroperca olfax",NA,NA,"30",NA,1,NA,NA,NA,NA
"25",5,"18-feb-14","10:39","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,45,NA,NA,"27",NA,NA,NA,NA,10,NA,"Mycteroperca olfax",NA,NA,"35",1,1,NA,NA,NA,NA
"26",5,"18-feb-14","10:39","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,45,NA,NA,"27",NA,NA,NA,NA,10,NA,"Mycteroperca olfax",NA,NA,"40",NA,1,NA,NA,NA,NA
"27",5,"18-feb-14","10:39","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,45,NA,NA,"27",NA,NA,NA,NA,10,NA,"Mycteroperca olfax",NA,NA,"50",NA,1,NA,NA,NA,NA
"28",5,"18-feb-14","10:39","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,45,NA,NA,"27",NA,NA,NA,NA,10,NA,"Mycteroperca olfax",NA,NA,"60",NA,1,NA,NA,NA,NA
"29",5,"18-feb-14","10:39","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,45,NA,NA,"27",NA,NA,NA,NA,10,NA,"Mycteroperca olfax",NA,NA,"70",NA,1,NA,NA,NA,NA
"30",5,"18-feb-14","10:39","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,45,NA,NA,"27",NA,NA,NA,NA,10,NA,"Mycteroperca olfax",NA,NA,"80",NA,1,NA,NA,NA,NA
"31",5,"18-feb-14","10:39","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,45,NA,NA,"27",NA,NA,NA,NA,10,NA,"Mycteroperca olfax",NA,NA,"90",NA,1,NA,NA,NA,NA
"32",5,"18-feb-14","10:39","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,45,NA,NA,"27",NA,NA,NA,NA,10,NA,"Mycteroperca olfax",NA,NA,"100",NA,1,NA,NA,NA,NA
"33",5,"18-feb-14","10:39","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,45,NA,NA,"27",NA,NA,NA,NA,10,NA,"Mycteroperca olfax",NA,NA,"110",NA,1,NA,NA,NA,NA
