"","Trasect_code","Date","Time","Island","Site","Bioregion","Diver","Depth","Dive_duration","Transect_length","Census_duration","Current","Temperature","Distance","Thermocline_depth","Water_temp_over_therm","Water_temp_below_therm","Vis_over_therm","Vis_below_therm","SPECIES","Sex","Comments","SizeClass_cm","N","Trip","Habitat_type_RSM","Rugosity_0_3","Inclination_0_3","Rocky_reef_max_depth","Method"
"1",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"<30",NA,1,NA,NA,NA,NA,"UVC"
"2",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"30",NA,1,NA,NA,NA,NA,"UVC"
"3",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"35",1,1,NA,NA,NA,NA,"UVC"
"4",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"40",NA,1,NA,NA,NA,NA,"UVC"
"5",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"50",NA,1,NA,NA,NA,NA,"UVC"
"6",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"60",NA,1,NA,NA,NA,NA,"UVC"
"7",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"70",NA,1,NA,NA,NA,NA,"UVC"
"8",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"80",NA,1,NA,NA,NA,NA,"UVC"
"9",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"90",NA,1,NA,NA,NA,NA,"UVC"
"10",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"100",NA,1,NA,NA,NA,NA,"UVC"
"11",2,"18-feb-14","10:32","Genovesa","Genovesa Cuerno","Norte","Tyler Eddy",20,35,28,NA,NA,"27",NA,NA,NA,NA,10,NA,"Dermatolepis dermatolepis",NA,NA,"110",NA,1,NA,NA,NA,NA,"UVC"
