Primary_Key;Trasect_code;Date;Year;Month;Time;Island;Site;Bioregion;Diver;Depth;Dive_duration;Transect_length;Census_duration;Current;Temperature;Distance;Thermocline_depth;Water_temp_over_therm;Water_temp_below_therm;Vis_over_therm;Vis_below_therm;Habitat_type_RSM;Rugosity_0_3;Inclination_0_3;Rocky_reef_max_depth;SPECIES;Sex;S_less_30;S_30;S_35;S_40;S_50;S_60;S_70;S_80;S_90;S_100;S_110;S_125;S_150;S_175;S_200;S_210;S_225;S_250;S_300;S_350;S_400;S_more_400;Total;Comments;Cord1;Cord2
;1;27-feb-14;2014;February;07:18:30;Santiago;Santiago sureste;Centro-sur;David Acuña;16;45;46;2;0;C;M;16;25;;15;;;;;;Mycteroperca olfax;indeterminado;;;;;1;;;;;;;;;;;;;;;;;;;;0,31295;-90,53962
;2;27-feb-14;2014;February;07:20:45;Santiago;Santiago sureste;Centro-sur;David Acuña;16;45;43;2;0;C;M;16;25;;15;;;;;;Mycteroperca olfax;indeterminado;;;;1;;;;;;;;;;;;;;;;;;;;;;
;3;27-feb-14;2014;February;07:23:00;Santiago;Santiago sureste;Centro-sur;David Acuña;16;45;31;2;0;C;M;16;25;;15;;;;;;Dasyatis brevis;macho;;;;;;1;;;;;;;;;;;;;;;;;;;;
;4;27-feb-14;2014;February;07:28:45;Santiago;Santiago sureste;Centro-sur;David Acuña;16;45;54;2;0;C;M;16;25;;15;;;;;;Mycteroperca olfax;indeterminado;;;;1;1;1;;;;;;;;;;;;;;;;;;;;
;5;27-feb-14;2014;February;07:31:00;Santiago;Santiago sureste;Centro-sur;David Acuña;16;45;36;2;0;C;M;16;25;;15;;;;;;Mycteroperca olfax;indeterminado;;;;;1;;;;;;;;;;;;;;;;;;;;;
;6;27-feb-14;2014;February;07:36:45;Santiago;Santiago sureste;Centro-sur;David Acuña;16;45;51;2;0;C;M;16;25;;15;;;;;;Mycteroperca olfax;indeterminado;;;1;;;;;;;;;;;;;;;;;;;;;;;
;7;27-feb-14;2014;February;07:39:00;Santiago;Santiago sureste;Centro-sur;David Acuña;16;45;57;2;0;C;M;16;25;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;27-feb-14;2014;February;07:41:15;Santiago;Santiago sureste;Centro-sur;David Acuña;16;45;59;2;0;C;M;16;25;;15;;;;;;Mycteroperca olfax;indeterminado;;1;;;;;;;;;;;;;;;;;;;;;;;;
;9;27-feb-14;2014;February;07:43:30;Santiago;Santiago sureste;Centro-sur;David Acuña;16;45;50;2;0;C;M;16;25;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10;27-feb-14;2014;February;07:45:45;Santiago;Santiago sureste;Centro-sur;David Acuña;16;45;53;2;0;C;M;16;25;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;27-feb-14;2014;February;07:48:00;Santiago;Santiago sureste;Centro-sur;David Acuña;16;45;52;2;0;C;M;16;25;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12;27-feb-14;2014;February;07:50:15;Santiago;Santiago sureste;Centro-sur;David Acuña;16;45;38;2;0;C;M;16;25;;15;;;;;;Mycteroperca olfax;indeterminado;;1;;1;;;;;;;;;;;;;;;;;;;;;;
;13;27-feb-14;2014;February;07:52:30;Santiago;Santiago sureste;Centro-sur;David Acuña;16;45;24;2;0;C;M;16;25;;15;;;;;;Mycteroperca olfax;indeterminado;;1;;1;;;;;;;;;;;;;;;;;;;;;;
;1;27-feb-14;2014;February;10:57:00;Santiago;Poza Azules;Centro-sur;David Acuña;12;30;50;2;0;C;M;;26;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
