Primary_Key;Trasect_code;Date;Year;Month;Time;Island;Site;Bioregion;Diver;Depth;Dive_duration;Transect_length;Census_duration;Current;Temperature;Distance;Thermocline_depth;Water_temp_over_therm;Water_temp_below_therm;Vis_over_therm;Vis_below_therm;Habitat_type_RSM;Rugosity_0_3;Inclination_0_3;Rocky_reef_max_depth;SPECIES;Sex;S_less_30;S_30;S_35;S_40;S_50;S_60;S_70;S_80;S_90;S_100;S_110;S_125;S_150;S_175;S_200;S_210;S_225;S_250;S_300;S_350;S_400;S_more_400;Total;Comments
;1;14-mar-14;2014;March;08:42:15;Floreana;Isla Enderby;Centro-sur;Tyler Eddy;16;34;47;2;0;C;M;;27;;15;;R;1;2;;Dermatolepis dermatolepis;;;1;;;;;;;;;;;;;;;;;;;;;;
;1;14-mar-14;2014;March;08:42:15;Floreana;Isla Enderby;Centro-sur;Tyler Eddy;16;34;47;2;0;C;M;;27;;15;;R;1;2;;Mycteroperca olfax;;;;;;;1;;;;;;;;;;;;;;;;;;
;1;14-mar-14;2014;March;08:42:15;Floreana;Isla Enderby;Centro-sur;Tyler Eddy;16;34;47;2;0;C;M;;27;;15;;R;1;2;;Carcharhinus galapagensis;;;;;;;;;;;;;;2;;;;;;;;;;;
;2;14-mar-14;2014;March;08:44:30;Floreana;Isla Enderby;Centro-sur;Tyler Eddy;15;34;53;2;0;C;M;;27;;15;;R;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;14-mar-14;2014;March;08:46:45;Floreana;Isla Enderby;Centro-sur;Tyler Eddy;15;34;49;2;0;C;M;;27;;15;;R;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;14-mar-14;2014;March;08:49:00;Floreana;Isla Enderby;Centro-sur;Tyler Eddy;14;34;53;2;0;C;M;;27;;15;;R;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;14-mar-14;2014;March;08:51:15;Floreana;Isla Enderby;Centro-sur;Tyler Eddy;16;34;61;2;0;C;M;;27;;15;;R;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;14-mar-14;2014;March;08:53:30;Floreana;Isla Enderby;Centro-sur;Tyler Eddy;14;34;59;2;0;C;M;;27;;15;;R;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;14-mar-14;2014;March;08:55:45;Floreana;Isla Enderby;Centro-sur;Tyler Eddy;14;34;69;2;0;C;M;;27;;15;;R;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;14-mar-14;2014;March;08:58:00;Floreana;Isla Enderby;Centro-sur;Tyler Eddy;16;34;73;2;0;C;M;;27;;15;;R;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
;9;14-mar-14;2014;March;09:00:15;Floreana;Isla Enderby;Centro-sur;Tyler Eddy;16;34;65;2;0;C;M;;27;;15;;R;1;2;;Carcharhinus galapagensis;;;;;;;;;1;;1;;;;;;;;;;;;;;
;10;14-mar-14;2014;March;09:02:30;Floreana;Isla Enderby;Centro-sur;Tyler Eddy;14;34;56;2;0;C;M;;27;;15;;R;1;2;;Carcharhinus galapagensis;;;;;;;;;;;;;;1;;1;;;;;;;;;
;11;14-mar-14;2014;March;09:04:45;Floreana;Isla Enderby;Centro-sur;Tyler Eddy;14;34;56;2;0;C;M;;27;;15;;R;1;2;;Carcharhinus galapagensis;;;;;;;;;;;;;;4;;1;;;;;;;;;
;12;14-mar-14;2014;March;09:07:00;Floreana;Isla Enderby;Centro-sur;Tyler Eddy;14;34;56;2;0;C;M;;27;;15;;R;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
